province,city,confirmedCount,deadCount,curedCount
贵州,铜仁市,10,0,10
贵州,黔东南州市,10,0,10
贵州,安顺市,4,0,4
贵州,黔西南州市,4,0,4
贵州,境外输入市,1,0,1
青海,青海,18,0,18
青海,西宁市,15,0,15
青海,海北州市,3,0,3
西藏,西藏,1,0,1
西藏,拉萨市,1,0,1
